"Larvae.age","Larvae.batch","Tray.Number","Cue","Settled","Shell","conspecific_cue","predator_cue"
25,"2","16d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","16f","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","17b","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17b","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17b","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17b","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17c","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","17d","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17d","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17d","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17d","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","17e","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","17f","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","18a","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","18a","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","18a","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","18b","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","18b","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","18b","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","18b","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","18c","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18c","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18c","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18c","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18d","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18d","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18d","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18d","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","18e","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","18e","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","18e","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","18e","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","18f","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","18f","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","19a","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19a","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19a","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19a","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19a","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19b","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19d","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
25,"2","19d","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19e","steralized shell_predator cue",0,"Sterilized","Absent","Present"
25,"2","19f","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19f","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19f","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19f","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","19f","steralized shell_conspecific cue_predator cue",0,"Sterilized","Present","Present"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20a","steralized shell",0,"Sterilized","Absent","Absent"
25,"2","20b","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
25,"2","20b","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
25,"2","20c","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","20c","conspecific shell",0,"Untreated","Absent","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20d","steralized shell_conspecific cue",0,"Sterilized","Present","Absent"
25,"2","20e","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","20e","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","20e","conspecific shell_predator cue",0,"Untreated","Absent","Present"
25,"2","20f","conspecific shell_conspecific cue",0,"Untreated","Present","Absent"
